"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20131231","35323","UTAH COMMUNITY BANK","SANDY","UT","NM","28484","23976"
"20131231","22647","NORTHERN HANCOCK BANK & TRUST CO.","NEWELL","WV","NM","28473","23510"
"20131231","12089","MARSHALL COUNTY STATE BANK","VARNA","IL","NM","28415","25294"
"20131231","13611","BANK OF MEAD","MEAD","NE","NM","28404","24389"
"20131231","13796","FARMERS STATE BANK","HUMPHREY","NE","NM","28244","24169"
"20131231","18568","COMMUNITY BANK OF EASTON","EASTON","IL","NM","28217","23479"
"20131231","1388","ORMSBY STATE BANK","ORMSBY","MN","NM","28179","22716"
"20131231","58586","TURTLE MOUNTAIN STATE BANK","BELCOURT","ND","NM","28175","22538"
"20131231","31723","HOME SAVINGS BANK, FSB","LUDLOW","KY","SB","28171","22404"
"20131231","27053","COMMUNITY FINANCIAL BANK","PRENTICE","WI","NM","28144","23524"
"20131231","26658","AMISTAD BANK","DEL RIO","TX","NM","28115","24439"
"20131231","8893","AMERICA'S COMMUNITY BANK","BLUE SPRINGS","MO","SM","28063","23825"
"20131231","15930","MAXWELL STATE BANK","MAXWELL","IA","NM","28025","22864"
"20131231","16881","STATE BANK OF CHESTER","CHESTER","NE","NM","28012","25332"
"20131231","2485","FARMERS AND MERCHANTS BANK","RUDOLPH","WI","NM","28001","24722"
"20131231","16423","LA MONTE COMMUNITY BANK","LA MONTE","MO","NM","27928","24825"
"20131231","13723","THE STATE BANK OF HILDRETH","HILDRETH","NE","NM","27909","23934"
"20131231","8829","STATE BANK OF CLARKS GROVE","ALBERT LEA","MN","NM","27908","25230"
"20131231","11175","THE FIRST STATE BANK","ABERNATHY","TX","NM","27885","23842"
"20131231","6156","FARMERS STATE BANK, WINTHROP, WASH.","WINTHROP","WA","NM","27863","24509"
"20131231","22543","1ST STATE BANK OF MASON CITY","MASON CITY","IL","NM","27821","24553"
"20131231","10567","UNITED MINNESOTA BANK","NEW LONDON","MN","NM","27715","25387"
"20131231","15098","UNION STATE BANK","OLSBURG","KS","NM","27653","23027"
"20131231","9425","QUALITY BANK","FINGAL","ND","NM","27441","24915"
"20131231","1051","CITIZENS BANK","HARTFORD","KY","SM","27257","22385"
"20131231","6084","THE FARMERS STATE BANK OF TURTON","TURTON","SD","NM","27242","23980"
"20131231","57470","MEMBERS TRUST COMPANY","TAMPA","FL","SB","27237","500"
"20131231","16205","THE STATE BANK OF OSKALOOSA","OSKALOOSA","KS","NM","27220","24864"
"20131231","10145","HART COUNTY BANK AND TRUST COMPANY","MUNFORDVILLE","KY","NM","27209","22008"
